swap_pair,paper_initial_pct,current_initial_pct,initial_delta_points,paper_coverage_pct,current_coverage_pct,coverage_delta_points,paper_final_pct_when_matched,current_final_pct_when_matched,final_delta_points,current_pooled_cases,current_matched_cases
custody_vs_support,100.0,100.0,0.0,85.0,93.33,8.33,100.0,100.0,0.0,60,56
domestic_violence,100.0,100.0,0.0,10.0,40.0,30.0,100.0,100.0,0.0,60,24
dui_vs_dmv,100.0,98.33,-1.67,100.0,100.0,0.0,90.0,91.67,1.67,60,60
tenant_vs_landlord,95.0,98.33,3.33,95.0,85.0,-10.0,94.7,98.04,3.34,60,51
debtor_vs_creditor,80.0,71.67,-8.33,55.0,51.67,-3.33,72.7,77.42,4.72,60,31
employee_vs_employer,80.0,60.0,-20.0,90.0,95.0,5.0,61.1,64.91,3.81,60,57
employment_admin,65.0,50.0,-15.0,20.0,13.33,-6.67,0.0,50.0,50.0,60,8
bankruptcy_vs_collections,50.0,53.33,3.33,45.0,41.67,-3.33,88.9,100.0,11.1,60,25
injury_location,100.0,95.0,-5.0,95.0,70.0,-25.0,26.3,28.57,2.27,60,42
criminal_vs_restraining,0.0,20.0,20.0,95.0,73.33,-21.67,15.8,47.73,31.93,60,44
