group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
benefit_agency,8,8,100.0,75.0,87.5,87.5,100.0,100.0,62.5,50.0,33.33,33.33,2,0,0
business_entity_specifics,6,6,83.33,83.33,83.33,83.33,100.0,100.0,83.33,83.33,25.0,25.0,1,0,0
capacity_and_protection,6,6,100.0,100.0,100.0,100.0,100.0,100.0,66.67,50.0,25.0,50.0,2,0,0
charge_severity,9,9,88.89,66.67,66.67,88.89,100.0,66.67,88.89,55.56,0.0,33.33,2,1,0
consumer_service_route,5,5,80.0,80.0,100.0,80.0,100.0,100.0,60.0,40.0,33.33,33.33,1,0,0
creditor_judgment_bankruptcy,6,6,83.33,83.33,83.33,66.67,100.0,100.0,16.67,16.67,100.0,100.0,2,0,0
criminal_posture,6,6,100.0,83.33,100.0,33.33,100.0,100.0,100.0,50.0,0.0,0.0,0,0,0
custody_safety,8,8,100.0,100.0,100.0,75.0,80.0,80.0,87.5,37.5,0.0,40.0,2,0,0
debt_posture,8,8,87.5,50.0,87.5,62.5,100.0,100.0,50.0,50.0,0.0,0.0,0,0,0
discharge_reason,9,9,100.0,100.0,100.0,77.78,83.33,83.33,88.89,55.56,0.0,33.33,2,0,0
divorce_context,7,7,100.0,100.0,100.0,57.14,100.0,50.0,100.0,57.14,0.0,0.0,0,0,0
employment_paper_and_pay,3,3,100.0,100.0,100.0,66.67,100.0,100.0,66.67,0.0,50.0,100.0,2,0,0
estate_posture,7,7,100.0,57.14,85.71,85.71,100.0,100.0,85.71,57.14,0.0,40.0,2,0,0
government_defendant,6,6,83.33,83.33,83.33,66.67,100.0,100.0,83.33,33.33,0.0,100.0,2,0,0
home_loan_posture,4,4,100.0,100.0,100.0,100.0,100.0,66.67,100.0,100.0,0.0,0.0,0,1,0
immigration_posture,5,5,100.0,100.0,100.0,60.0,100.0,100.0,40.0,20.0,0.0,50.0,1,0,0
injury_mechanism,2,2,100.0,100.0,100.0,50.0,,,50.0,50.0,,,0,0,0
insurance_route,6,6,100.0,83.33,100.0,83.33,100.0,50.0,66.67,50.0,50.0,50.0,2,1,0
ip_protection_type,6,6,100.0,83.33,100.0,66.67,100.0,100.0,50.0,33.33,0.0,33.33,1,0,0
land_taking_posture,3,3,100.0,66.67,66.67,33.33,100.0,0.0,66.67,33.33,0.0,0.0,0,0,0
license_action_source,6,6,100.0,100.0,100.0,66.67,100.0,100.0,66.67,50.0,0.0,0.0,0,0,0
neighbor_dispute_nature,6,6,100.0,100.0,100.0,66.67,100.0,100.0,66.67,33.33,25.0,75.0,3,0,0
professional_negligence,6,6,66.67,33.33,83.33,66.67,100.0,100.0,83.33,66.67,0.0,25.0,1,0,0
protective_order_relationship,6,6,100.0,100.0,100.0,83.33,100.0,100.0,50.0,33.33,50.0,75.0,3,0,0
relationship_legal_status,4,4,75.0,75.0,75.0,50.0,100.0,100.0,100.0,75.0,0.0,0.0,0,0,0
reputation_harm_type,6,6,100.0,100.0,100.0,66.67,100.0,100.0,83.33,66.67,33.33,33.33,1,0,0
small_claims_vs_construction,9,9,66.67,44.44,66.67,11.11,,,44.44,33.33,,,0,0,0
ssi_vs_ssd,9,9,88.89,77.78,88.89,55.56,66.67,66.67,88.89,77.78,0.0,33.33,1,1,0
tax_dispute_route,3,3,100.0,66.67,100.0,66.67,50.0,50.0,100.0,66.67,0.0,0.0,0,0,0
tenancy_property_type,8,8,100.0,100.0,100.0,62.5,100.0,100.0,87.5,12.5,0.0,100.0,4,0,0
vehicle_purchase_source,6,6,83.33,66.67,100.0,66.67,100.0,100.0,100.0,50.0,0.0,25.0,1,0,0
wc_state_vs_third_party,8,8,100.0,87.5,100.0,62.5,100.0,50.0,75.0,62.5,0.0,25.0,1,2,0
wc_system_identity,3,3,66.67,66.67,66.67,33.33,100.0,100.0,66.67,66.67,0.0,0.0,0,0,0
