run,group,scenarios,provider_error_scenarios,outcome_tiers,any_exact_sublabel_pct,all_exact_sublabels_pct,strict_exact_set_pct,any_correct_top_level_pct,all_correct_top_levels_pct,mean_exact_gold_coverage_pct,mean_graded_retrieval_score_pct,micro_exact_precision_pct,micro_exact_recall_pct,micro_exact_f1_pct,gold_label_instances,exact_gold_label_hits,category_only_gold_label_hits
run1,1,238,0,"{'all_exact_sublabels': {'n': 224, 'pct': 94.12}, 'some_exact_sublabels': {'n': 0, 'pct': 0.0}, 'top_level_only': {'n': 10, 'pct': 4.2}, 'no_correct_category': {'n': 4, 'pct': 1.68}}",94.12,94.12,11.34,98.32,98.32,94.12,96.22,38.04,94.12,54.18,238,224,10
run1,2,124,0,"{'all_exact_sublabels': {'n': 73, 'pct': 58.87}, 'some_exact_sublabels': {'n': 46, 'pct': 37.1}, 'top_level_only': {'n': 5, 'pct': 4.03}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",95.97,58.87,8.06,100.0,92.74,77.42,86.9,57.57,77.42,66.03,248,192,47
run1,3,9,0,"{'all_exact_sublabels': {'n': 3, 'pct': 33.33}, 'some_exact_sublabels': {'n': 6, 'pct': 66.67}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,33.33,33.33,100.0,66.67,66.67,77.78,75.0,66.67,70.59,27,18,6
run1,4,2,0,"{'all_exact_sublabels': {'n': 0, 'pct': 0.0}, 'some_exact_sublabels': {'n': 2, 'pct': 100.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,0.0,0.0,100.0,100.0,50.0,75.0,66.67,50.0,57.14,8,4,4
run2,1,238,0,"{'all_exact_sublabels': {'n': 229, 'pct': 96.22}, 'some_exact_sublabels': {'n': 0, 'pct': 0.0}, 'top_level_only': {'n': 8, 'pct': 3.36}, 'no_correct_category': {'n': 1, 'pct': 0.42}}",96.22,96.22,10.5,99.58,99.58,96.22,97.9,38.91,96.22,55.41,238,229,8
run2,2,124,0,"{'all_exact_sublabels': {'n': 75, 'pct': 60.48}, 'some_exact_sublabels': {'n': 43, 'pct': 34.68}, 'top_level_only': {'n': 5, 'pct': 4.03}, 'no_correct_category': {'n': 1, 'pct': 0.81}}",95.16,60.48,8.06,99.19,91.94,77.82,86.69,57.69,77.82,66.26,248,193,44
run2,3,9,0,"{'all_exact_sublabels': {'n': 3, 'pct': 33.33}, 'some_exact_sublabels': {'n': 5, 'pct': 55.56}, 'top_level_only': {'n': 1, 'pct': 11.11}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",88.89,33.33,33.33,100.0,66.67,62.96,75.93,70.83,62.96,66.67,27,17,7
run2,4,2,0,"{'all_exact_sublabels': {'n': 0, 'pct': 0.0}, 'some_exact_sublabels': {'n': 2, 'pct': 100.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,0.0,0.0,100.0,50.0,50.0,68.75,66.67,50.0,57.14,8,4,3
pooled,1,476,0,"{'all_exact_sublabels': {'n': 453, 'pct': 95.17}, 'some_exact_sublabels': {'n': 0, 'pct': 0.0}, 'top_level_only': {'n': 18, 'pct': 3.78}, 'no_correct_category': {'n': 5, 'pct': 1.05}}",95.17,95.17,10.92,98.95,98.95,95.17,97.06,38.47,95.17,54.8,476,453,18
pooled,2,248,0,"{'all_exact_sublabels': {'n': 148, 'pct': 59.68}, 'some_exact_sublabels': {'n': 89, 'pct': 35.89}, 'top_level_only': {'n': 10, 'pct': 4.03}, 'no_correct_category': {'n': 1, 'pct': 0.4}}",95.56,59.68,8.06,99.6,92.34,77.62,86.79,57.63,77.62,66.15,496,385,91
pooled,3,18,0,"{'all_exact_sublabels': {'n': 6, 'pct': 33.33}, 'some_exact_sublabels': {'n': 11, 'pct': 61.11}, 'top_level_only': {'n': 1, 'pct': 5.56}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",94.44,33.33,33.33,100.0,66.67,64.81,76.85,72.92,64.81,68.63,54,35,13
pooled,4,4,0,"{'all_exact_sublabels': {'n': 0, 'pct': 0.0}, 'some_exact_sublabels': {'n': 4, 'pct': 100.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,0.0,0.0,100.0,75.0,50.0,71.88,66.67,50.0,57.14,16,8,7
